observed_on,latitude,longitude,place_county_name,place_state_name,url,image_url,tipo
21/12/1996,-19.8438339133,-43.9928264036,Belo Horizonte,Minas Gerais,https://www.inaturalist.org/observations/243534330,https://inaturalist-open-data.s3.amazonaws.com/photos/434270678/medium.jpg,N-H
29/08/2004,-19.8549958,-44.0053019,Belo Horizonte,Minas Gerais,https://www.inaturalist.org/observations/42323942,https://inaturalist-open-data.s3.amazonaws.com/photos/67196416/medium.jpg,N-H
05/01/2005,-23.543635,-45.0624271,Ubatuba,São Paulo,https://www.inaturalist.org/observations/71310979,https://inaturalist-open-data.s3.amazonaws.com/photos/116082808/medium.jpeg,N-H
17/01/2006,-23.55,-45.066667,Ubatuba,São Paulo,https://www.inaturalist.org/observations/24402509,https://inaturalist-open-data.s3.amazonaws.com/photos/37733239/medium.png,N-H
25/08/2007,-22.7127432037,-47.6332621652,Piracicaba,São Paulo,https://www.inaturalist.org/observations/111599184,https://static.inaturalist.org/photos/188412601/medium.jpg,N-H
20/09/2008,-22.7127432037,-47.6332621652,Piracicaba,São Paulo,https://www.inaturalist.org/observations/111599185,https://static.inaturalist.org/photos/188412629/medium.jpg,N-H
25/12/2008,-20.0783464622,-44.0345392004,Brumadinho,Minas Gerais,https://www.inaturalist.org/observations/257264111,https://inaturalist-open-data.s3.amazonaws.com/photos/461464805/medium.jpeg,N-H
29/06/2009,-18.910500203,-48.2278710317,Uberlândia,Minas Gerais,https://www.inaturalist.org/observations/67259926,https://inaturalist-open-data.s3.amazonaws.com/photos/108620238/medium.jpg,N-H
09/10/2009,-23.5394561891,-45.0635770952,Ubatuba,São Paulo,https://www.inaturalist.org/observations/12319140,https://inaturalist-open-data.s3.amazonaws.com/photos/17730581/medium.jpeg,N-H
12/10/2009,-20.31246005,-46.5261258167,São Roque de Minas,Minas Gerais,https://www.inaturalist.org/observations/41906871,https://inaturalist-open-data.s3.amazonaws.com/photos/66502130/medium.jpg,N-H
